name,category,calories,protein,carbs,fat,fiber,standardUnit
ฟักทอง เนื้อ ไม่ปอกเปลือก ต้ม,vegetable,65.97,1.38,14.02,0.48,2.52,ถ้วยตวง
ฟักทอง พันธุ์ศรีเมือง ดิบ,vegetable,31.9,0.86,6.8,0.14,0.5,ทัพพี
ฟักทอง เมล็ด แกะเปลือก คั่ว,vegetable,628.08,26.63,15.6,51.02,5.44,ถ้วยตวง
ฟักทอง เมล็ด แกะเปลือก ดิบ,vegetable,413.33,17.52,9.8,33.78,6.99,ถ้วยตวง
ฟักทอง เมล็ด แกะเปลือก ต้มใส่เกลือ อบ,vegetable,588.82,23.84,16.5,47.5,6.12,ถ้วยตวง
ฟักทอง เมล็ด อบเกลือ,vegetable,620.88,34.74,14.25,47.22,9.72,ถ้วยตวง
ฟักทอง ยอดอ่อน ดิบ,vegetable,22.34,2.65,2.35,0.26,3.12,ถ้วยตวง
มะกอกไทย,vegetable,93.51,0.48,22.85,0.02,0,ถ้วยตวง
มะกอกน้ำ,vegetable,66.17,0.69,15.39,0.21,0,ถ้วยตวง
มะกอกน้ำ ดอง,vegetable,25.97,0.27,5.91,0.14,0,ถ้วยตวง
มะกอกป่า ยอดอ่อน ดิบ,vegetable,21.36,0.75,4.32,0.12,2.16,ถ้วยตวง
มะกอก ยอดอ่อน ดิบ,vegetable,26.27,0.92,4.98,0.3,3.79,ถ้วยตวง
มะเกี๋ยง ผล,vegetable,49.95,0.9,10.98,0.27,7.47,ถ้วยตวง
มะเขือขื่น ดิบ,vegetable,60.98,2.65,6.93,2.52,0,ถ้วยตวง
มะเขือเทศ,vegetable,40.38,1.64,7.18,0.57,1.74,ถ้วยตวง
มะเขือเทศ เพสท์,vegetable,208.39,7.73,42.32,0.91,0,ถ้วยตวง
มะเขือเทศราชินี,vegetable,42.48,1.64,7.87,0.49,2.13,ถ้วยตวง
มะเขือเทศสีดา,vegetable,41.67,1.62,7.66,0.51,2.85,ถ้วยตวง
มะเขือเปราะ ดอง,vegetable,31.75,1.27,6.19,0.21,0,ถ้วยตวง
มะเขือเปราะ ดิบ,vegetable,44.21,1.86,8.75,0.2,3.42,ถ้วยตวง
มะเขือพวง ดิบ,vegetable,98.49,3.72,18.62,1.01,18.26,ถ้วยตวง
มะเขือม่วง ดิบ,vegetable,21.75,0.81,4.37,0.12,0,ทัพพี
มะเขือยาวชุบไข่ทอด,vegetable,458.98,8.38,11.82,42.02,3.53,ถ้วยตวง
มะเขือยาว ดิบ,vegetable,15.84,0.58,3.31,0.03,1.54,ทัพพี
มะเขือเสวย ดิบ,vegetable,49.57,1.93,9.04,0.63,5.76,ถ้วยตวง
มะแขว่น,vegetable,509.74,17.36,87.08,10.22,35.98,ถ้วยตวง
มะดัน,vegetable,38.04,0.36,8.88,0.12,1.22,ถ้วยตวง
มะดัน ดอง,vegetable,24.72,0.6,5.04,0.24,0,ถ้วยตวง
มะเดื่อดิน (กะเหรี่ยงเมืองกาญฯ),vegetable,51.1,0.8,11.3,0.3,7.3,ถ้วยตวง
มะเดื่อไทย,vegetable,53.9,1.5,11.3,0.3,2.2,ถ้วยตวง
มะตะบะแกงเนื้อ,vegetable,292.08,7.08,28.85,16.48,2.02,ชิ้น (กลาง)
มะตะบะไส้ไก่ (ฮาลาล),vegetable,86.04,3.26,9.82,3.75,0,ทัพพี
มะตะบะไส้เนื้อ (ฮาลาล),vegetable,99.6,3.69,10.19,4.9,0,ทัพพี
มะตะบะไส้ผลไม้รวม (ฮาลาล),vegetable,103.88,2.26,17.69,2.68,0,ทัพพี
มะตูม,vegetable,128.2,3.1,28.5,0.2,7.9,ถ้วยตวง
มะตูม ใบและยอด ดิบ,vegetable,54.25,2.7,10.3,0.25,6.45,ถ้วยตวง
มะนาว ดอง,vegetable,5.99,0.07,1.4,0.01,0,ชิ้น (เล็ก)
มะปราง,vegetable,68.63,0.53,16.62,0,0,ถ้วยตวง
มะระขี้นก ดิบ,vegetable,19.44,1.36,2.49,0.45,2.49,ถ้วยตวง
มะระขี้นก ยอดอ่อน ดิบ,vegetable,36.88,4.45,3.84,0.41,4,ถ้วยตวง
มะระจีน ดิบ,vegetable,27.46,1.12,5.37,0.17,3.66,ถ้วยตวง
มะระ ยอดอ่อน ดิบ,vegetable,31.64,2.32,5.32,0.12,1.6,ถ้วยตวง
มะระหวาน / ฟักแม้ว / มะเขือเครือ ใบและยอด ดิบ,vegetable,33.03,4.04,3.54,0.3,0.81,ถ้วยตวง
มะระหวาน / ฟักแม้ว / มะเขือเครือ ผล ดิบ,vegetable,34.86,1.27,6.99,0.2,2.63,ถ้วยตวง
เยื่อไผ่ แห้ง / เห็ดร่างแห,vegetable,42.16,1.51,8.72,0.13,3.38,ทัพพี
ลูกจันทน์เทศ ดอง,vegetable,113.63,2.41,24.79,0.54,0,ถ้วยตวง
ลูกจันทน์เทศ เนื้อ แช่อิ่ม,vegetable,151.06,0.8,36.45,0.23,3.62,ถ้วยตวง
ลูกฟักทองอ่อน ดิบ,vegetable,36.9,0.9,7.92,0.18,2.7,ถ้วยตวง
สลัด (ผัก + ครีม),vegetable,98.78,1.34,9.74,6.05,0,ถ้วยตวง
